91
0,2,3,2,4,4,2,1,4,4,1,4,2,4,1,3,4,3,4,2,4,2,2,2,1,4,3,1,3,2,2,1,4,1,3,2,3,4,4,3,4,3,3,1,2,4,1,3,1,3,1,1,2,1,1,4,3,2,2,3,4,1,3,2,4,4,4,1,3,4,2,4,3,4,1,1,4,1,1,4,3,4,4,2,1,1,3,1,1,2,2,4,0
0,45,22,40,16,22,70,97,90,45,35,62,83,15,57,18,60,27,46,93,98,32,52,99,26,27,12,64,25,83,42,51,93,80,85,27,28,92,99,70,51,37,44,15,47,21,92,24,64,88,59,71,72,22,40,75,95,28,25,55,37,40,53,30,42,57,19,67,17,83,63,31,94,31,63,65,34,99,84,38,30,11,76,82,82,40,70,76,55,73,41,71,0
45,0,53,29,70,83,39,62,37,47,48,10,57,91,37,34,94,85,51,45,42,62,14,86,45,41,32,73,35,20,44,30,73,57,96,40,44,32,72,100,83,27,81,24,30,100,86,22,21,50,29,55,18,91,53,90,62,27,80,26,54,53,100,47,22,17,29,99,40,16,53,20,89,14,55,84,45,34,19,27,81,15,98,53,87,21,44,71,74,81,65,40,45
22,53,0,18,62,45,31,48,97,24,60,50,45,22,40,91,51,20,81,70,21,49,95,32,48,75,76,54,57,37,46,67,44,68,22,63,45,55,55,73,71,16,70,18,25,43,84,15,85,80,23,50,97,63,30,98,57,39,14,42,60,84,22,15,41,53,26,22,25,57,47,84,48,73,64,23,61,44,58,59,10,66,91,87,77,62,90,59,71,41,70,64,22
40,29,18,0,72,31,49,34,13,67,39,51,23,90,79,68,18,19,35,58,72,44,37,40,43,21,37,51,97,43,44,29,36,84,99,80,73,88,62,13,83,45,71,44,70,74,60,100,50,33,31,32,56,55,53,78,89,74,33,82,86,10,37,73,76,11,86,13,67,54,80,17,60,67,65,24,73,76,36,15,72,59,90,22,92,20,92,48,56,64,74,45,40
16,70,62,72,0,35,37,45,85,95,89,52,76,90,48,71,61,14,36,13,55,94,48,19,77,87,83,81,21,36,37,29,44,29,29,41,23,86,84,36,81,95,47,43,84,39,14,90,46,35,44,91,44,77,13,76,59,65,95,65,35,13,16,78,96,27,14,84,17,22,13,61,80,87,48,21,74,91,34,21,99,44,64,100,62,54,31,20,49,79,67,27,16
22,83,45,31,35,0,10,51,52,81,82,96,10,74,38,49,28,93,86,63,10,39,89,58,74,57,52,67,55,41,67,75,65,52,79,81,97,77,83,36,22,43,35,13,50,60,41,12,63,10,68,73,76,68,81,76,87,35,48,18,97,98,23,32,63,30,86,73,33,84,34,99,28,12,32,32,65,72,25,79,37,16,95,31,62,15,13,75,23,38,70,87,22
70,39,31,49,37,10,0,46,46,64,22,37,87,93,53,66,26,73,71,24,33,17,89,91,80,34,45,38,65,19,18,38,71,91,73,59,52,43,77,45,61,100,30,28,90,10,36,79,71,25,52,78,21,41,38,73,38,61,55,24,55,19,54,72,33,12,98,62,47,39,65,81,47,61,40,14,29,13,12,87,92,93,18,13,38,52,45,26,89,67,51,74,70
97,62,48,34,45,51,46,0,48,20,71,65,99,12,19,71,30,38,74,34,31,52,62,12,27,62,24,41,15,82,37,52,15,64,26,100,89,26,74,94,25,70,64,23,71,94,76,42,19,20,68,81,39,35,45,83,55,41,47,10,45,65,37,17,69,62,59,22,40,59,67,57,40,46,47,21,65,87,99,21,67,13,34,74,66,39,35,89,28,80,61,30,97
90,37,97,13,85,52,46,48,0,62,41,39,98,51,77,79,95,10,46,83,46,47,94,71,10,76,47,12,10,28,87,42,70,83,16,27,43,68,62,28,35,92,24,72,72,39,55,26,48,91,61,22,84,13,82,83,68,88,73,78,24,92,48,11,30,37,56,56,12,97,71,39,66,80,45,100,11,31,48,79,11,87,70,46,51,94,58,54,94,94,87,25,90
45,47,24,67,95,81,64,20,62,0,48,18,86,84,14,34,54,82,40,82,71,27,87,65,70,41,48,86,87,37,22,54,51,24,12,100,84,34,58,67,92,56,67,59,34,77,81,33,65,39,59,92,32,76,38,30,34,66,35,39,34,88,81,76,28,25,72,99,80,16,11,14,85,78,28,10,27,28,70,82,100,27,68,100,88,76,33,89,15,22,66,61,45
