58
0,4,4,2,2,2,4,2,2,2,2,4,3,4,3,3,2,2,2,3,3,2,1,2,3,3,4,2,1,2,2,1,2,3,4,1,1,3,1,4,1,4,2,1,1,3,1,4,2,3,1,4,2,4,1,4,3,3,2,0
0,87,94,68,51,49,29,42,98,92,48,83,77,48,25,45,29,39,93,39,72,60,74,70,93,43,12,33,95,80,32,54,36,38,14,40,27,28,51,33,55,67,54,46,83,20,16,25,71,75,28,23,55,64,38,55,15,27,10,0
87,0,40,70,11,31,25,67,29,90,35,38,66,55,19,14,61,58,36,30,55,76,87,94,98,96,99,100,88,81,60,19,17,19,42,45,11,64,77,26,34,50,45,10,15,42,17,94,30,73,57,42,81,63,84,43,25,83,39,87
94,40,0,54,61,83,52,50,30,65,83,37,31,32,44,68,28,90,80,80,99,95,76,36,72,68,20,13,77,82,97,77,48,16,86,78,31,22,82,90,19,100,15,22,74,78,22,53,92,94,29,40,94,93,28,54,91,11,78,94
68,70,54,0,64,45,15,16,62,46,99,79,74,82,79,24,22,54,87,72,78,45,81,50,98,89,67,15,22,33,72,87,16,18,24,27,90,24,97,42,73,93,28,21,67,45,90,27,85,46,99,54,99,23,17,89,54,37,64,68
51,11,61,64,0,29,83,18,82,75,43,69,26,24,71,53,37,76,61,65,62,71,65,91,20,77,32,100,53,25,70,51,80,51,17,21,79,92,66,42,34,59,13,55,45,43,48,74,87,12,77,61,24,38,65,13,82,21,32,51
49,31,83,45,29,0,46,19,90,13,81,79,87,74,86,81,68,60,91,90,99,31,45,96,32,77,79,66,52,47,67,91,66,87,38,67,87,48,55,49,37,32,45,58,23,79,56,12,56,35,27,63,83,15,40,33,18,51,28,49
29,25,52,15,83,46,0,32,43,30,66,91,30,29,54,12,95,36,42,100,23,55,55,84,24,74,64,25,55,69,66,59,64,49,98,91,82,59,96,91,89,38,40,90,52,18,73,40,16,54,10,41,14,24,25,42,20,98,95,29
42,67,50,16,18,19,32,0,22,26,22,88,98,61,55,27,19,40,61,19,95,22,53,43,44,100,35,65,77,29,23,72,94,38,39,57,91,81,18,47,81,66,10,81,26,56,51,79,89,20,100,73,57,97,26,40,89,37,79,42
98,29,30,62,82,90,43,22,0,68,17,38,67,13,83,72,58,40,67,29,49,30,81,12,84,89,36,22,59,21,92,80,63,84,35,31,34,61,53,56,98,70,84,62,18,16,19,63,48,76,24,53,53,66,81,11,49,10,13,98
92,90,65,46,75,13,30,26,68,0,18,89,26,82,59,71,76,45,91,36,32,45,20,55,98,35,79,46,40,56,98,30,65,85,37,51,92,25,53,96,36,13,11,94,95,92,70,17,66,19,82,87,52,61,82,17,95,90,39,92
48,35,83,99,43,81,66,22,17,18,0,94,66,97,38,27,19,93,60,98,39,97,65,87,81,62,27,86,60,78,14,67,23,83,52,51,32,41,56,75,75,14,39,24,94,17,71,77,71,77,38,70,66,100,75,11,12,20,14,48
83,38,37,79,69,79,91,88,38,89,94,0,37,76,73,16,42,46,44,71,91,53,37,55,84,83,10,75,59,23,13,13,64,72,39,42,23,38,36,96,41,78,83,93,93,29,94,65,28,71,53,62,37,24,62,38,33,32,51,83
77,66,31,74,26,87,30,98,67,26,66,37,0,36,33,17,67,29,20,34,10,28,77,61,35,16,76,55,59,45,22,75,49,87,86,77,60,17,59,82,47,31,68,85,56,87,71,86,34,55,93,35,76,16,78,66,19,52,11,77
48,55,32,82,24,74,29,61,13,82,97,76,36,0,93,11,22,83,28,92,84,18,59,65,84,18,98,94,94,92,49,37,97,52,55,58,43,90,33,93,55,98,28,96,89,18,74,99,66,37,27,52,82,84,34,68,51,11,78,48
25,19,44,79,71,86,54,55,83,59,38,73,33,93,0,26,99,11,58,18,43,74,22,20,55,44,43,85,79,39,90,54,82,64,91,31,59,89,58,21,36,74,18,75,86,75,97,54,60,52,83,40,63,22,30,41,69,46,75,25
45,14,68,24,53,81,12,27,72,71,27,16,17,11,26,0,16,19,58,29,69,98,14,100,79,47,18,63,81,22,13,52,82,35,66,49,92,11,21,26,27,36,47,21,73,34,46,91,80,17,24,47,36,36,28,48,85,100,66,45
29,61,28,22,37,68,95,19,58,76,19,42,67,22,99,16,0,18,52,56,81,14,75,29,46,94,59,22,26,27,63,91,16,92,21,60,63,38,98,14,48,92,23,91,94,10,92,48,44,94,73,43,53,45,56,42,42,10,88,29
39,58,90,54,76,60,36,40,40,45,93,46,29,83,11,19,18,0,91,22,58,94,15,73,27,52,26,100,90,28,70,52,35,100,87,49,74,81,61,47,99,80,49,63,56,10,66,68,50,65,78,42,60,93,92,13,16,43,12,39
93,36,80,87,61,91,42,61,67,91,60,44,20,28,58,58,52,91,0,69,66,88,59,35,90,69,86,29,70,50,98,53,95,90,19,64,50,28,75,67,28,42,28,32,48,91,21,54,94,56,62,40,14,31,98,33,74,32,30,93
39,30,80,72,65,90,100,19,29,36,98,71,34,92,18,29,56,22,69,0,63,82,14,54,92,32,84,35,12,42,26,94,81,63,57,78,21,41,51,65,57,32,77,95,93,46,99,99,23,99,92,68,53,49,69,75,27,13,45,39
72,55,99,78,62,99,23,95,49,32,39,91,10,84,43,69,81,58,66,63,0,35,38,67,100,98,72,68,62,19,19,97,84,76,55,53,43,72,20,79,61,95,40,61,22,74,100,93,29,83,68,44,48,32,20,73,20,23,61,72
60,76,95,45,71,31,55,22,30,45,97,53,28,18,74,98,14,94,88,82,35,0,15,44,71,91,46,99,73,96,97,67,91,70,90,86,88,41,65,76,59,78,11,23,88,79,87,56,55,89,60,96,39,37,23,25,84,60,46,60
74,87,76,81,65,45,55,53,81,20,65,37,77,59,22,14,75,15,59,14,38,15,0,63,40,57,81,62,87,30,29,80,52,83,61,24,41,59,15,99,22,90,31,92,12,69,75,16,15,26,69,75,84,99,62,90,42,69,40,74
70,94,36,50,91,96,84,43,12,55,87,55,61,65,20,100,29,73,35,54,67,44,63,0,32,86,41,25,36,100,100,100,94,37,15,69,38,72,53,78,25,82,67,89,84,26,77,49,43,29,31,78,59,64,100,67,23,25,60,70
93,98,72,98,20,32,24,44,84,98,81,84,35,84,55,79,46,27,90,92,100,71,40,32,0,54,66,81,29,43,84,94,71,44,67,35,83,88,57,81,93,12,50,59,88,75,87,92,83,58,53,89,49,22,12,15,25,74,56,93
43,96,68,89,77,77,74,100,89,35,62,83,16,18,44,47,94,52,69,32,98,91,57,86,54,0,73,33,37,30,28,13,15,10,98,46,92,33,69,91,52,50,34,84,53,38,22,57,48,84,57,46,18,21,62,65,30,19,23,43
12,99,20,67,32,79,64,35,36,79,27,10,76,98,43,18,59,26,86,84,72,46,81,41,66,73,0,75,28,100,80,61,47,42,78,35,30,78,30,42,43,38,63,44,92,84,58,47,74,71,93,59,92,22,88,70,39,91,70,12
33,100,13,15,100,66,25,65,22,46,86,75,55,94,85,63,22,100,29,35,68,99,62,25,81,33,75,0,88,39,41,82,37,80,59,78,46,14,94,45,80,64,29,54,72,95,38,33,54,100,18,19,96,62,40,80,14,23,74,33
