74
0,2,2,2,1,4,2,3,4,2,4,2,4,4,3,1,1,2,2,2,2,1,3,1,1,2,2,1,3,4,4,4,2,3,3,4,1,3,3,4,1,1,4,2,3,2,4,2,2,1,1,1,2,2,3,2,1,3,3,1,3,4,2,4,1,4,3,3,4,3,2,1,4,3,4,0
0,20,81,95,12,11,37,83,27,95,12,44,82,75,22,91,23,72,55,78,56,26,62,77,22,89,93,54,54,87,59,83,34,82,42,65,73,59,50,58,52,60,46,15,27,37,82,37,83,46,52,39,13,97,75,71,43,89,100,49,42,61,25,87,47,49,51,85,68,66,58,88,31,86,13,0
20,0,69,68,84,12,86,98,14,92,89,57,22,54,27,21,23,18,27,30,34,48,53,92,60,68,52,82,65,43,99,11,21,17,14,83,67,89,83,70,50,26,23,17,99,95,85,38,73,51,70,76,93,21,63,13,30,70,63,69,28,73,27,12,26,32,35,16,17,31,78,75,62,76,16,20
81,69,0,50,70,12,53,43,31,57,70,59,47,95,46,80,44,75,64,74,60,90,11,18,77,36,72,13,29,60,32,23,72,49,64,95,77,97,55,40,56,83,45,58,28,19,30,81,88,91,37,66,63,14,31,74,72,68,54,56,48,58,26,41,47,77,95,64,20,99,90,65,46,65,49,81
95,68,50,0,79,16,49,29,22,86,90,57,10,49,50,38,20,74,31,56,71,24,68,58,96,60,10,94,61,51,61,39,59,56,37,23,19,80,13,66,18,97,55,61,97,67,18,36,32,67,51,53,70,50,49,81,23,57,12,59,38,17,71,99,99,68,56,30,67,40,86,84,36,10,25,95
12,84,70,79,0,52,96,12,52,87,89,18,35,82,22,44,66,23,13,25,66,69,14,64,85,58,25,51,13,14,81,10,59,19,15,53,98,66,16,77,86,52,54,23,27,21,43,99,43,63,39,86,39,25,96,47,38,68,58,34,64,54,53,14,82,76,55,15,61,71,28,47,35,76,59,12
11,12,12,16,52,0,29,71,94,92,50,95,77,82,48,30,12,63,47,68,64,74,28,40,63,65,86,81,80,47,66,69,10,30,92,97,38,76,11,59,85,50,48,44,42,96,93,59,67,50,67,11,57,43,19,84,25,28,51,82,41,29,56,15,71,13,37,96,50,39,91,11,49,72,29,11
37,86,53,49,96,29,0,60,77,94,44,19,35,85,15,12,94,88,31,22,56,22,12,72,36,56,83,77,72,35,82,60,42,73,66,27,54,22,99,96,38,39,34,61,34,12,71,94,83,77,19,41,10,58,62,47,30,97,12,29,57,37,47,49,19,53,39,85,35,71,57,44,53,81,19,37
83,98,43,29,12,71,60,0,69,99,61,73,53,53,69,36,11,41,47,36,49,33,67,46,77,89,10,20,67,50,24,42,47,92,92,72,62,85,57,45,12,99,21,58,60,68,91,79,59,92,100,19,43,61,68,39,27,48,87,70,62,82,31,33,26,36,38,81,98,66,42,96,41,97,53,83
27,14,31,22,52,94,77,69,0,76,17,72,54,14,28,17,66,92,50,72,78,23,90,90,98,16,11,94,28,77,75,60,96,17,13,77,73,46,33,51,67,84,97,14,11,62,38,43,91,11,43,39,46,68,37,53,41,43,90,33,44,41,19,14,49,48,26,29,89,56,33,20,100,20,60,27
